gender,n_obs,n_iid,attr_coef,attr_se,attr_pvalue,within_r2
Female,2850,218,0.07746814715780834,0.005319303531130555,0.0,0.3437627289989228
Male,2884,216,0.10281080957045244,0.006302687333162838,0.0,0.3364886471123587
