variable,pooled_coef,pooled_se,pooled_pvalue,fe_coef,fe_se,fe_pvalue,change,pct_change
attr,0.086479,0.005443,0.0,0.09021711530864926,0.004235989443824316,0.0,0.003738115308649259,0.04322569998091166
sinc,-0.019111,0.006465,0.003117,0.0003321926396814107,0.0045124579643731014,0.941318097515583,0.01944319263968141,1.0173822740663183
intel,0.00833,0.006791,0.219946,0.016019487307474933,0.0051092807043611075,0.001725770525795367,0.007689487307474933,0.9231077199849859
fun,0.038047,0.005193,0.0,0.04313246010537806,0.0038687828788461238,0.0,0.00508546010537806,0.13366257800557366
amb,-0.023477,0.00506,3e-06,-0.0037806391643495792,0.003998585305367302,0.34444978732712395,0.019696360835650423,0.8389641281105091
shar,0.045463,0.005053,0.0,0.04286491811910287,0.0038091117208298507,0.0,-0.002598081880897135,-0.0571471720057439
